"","originalid","interactor1kingdom","interactor1","standardisedtraitname","model_name","aic","estimate","climate","latitude","longitude"
"1","MTD201","Metazoa","Kinixys spekii","Foraging Velocity","sharpeschoolhigh",-693.10393013079,-0.0882473884235138,"tropical",-17.193,29.553
"2","MTD2036","Metazoa","Dorymyrmex goetschi","Foraging Velocity","sharpeschoolhigh",-129.765460627094,0.106843382259614,"sub-tropical",-33.825,-70.269
"3","MTD2038","Metazoa","Formica rufa","Foraging Velocity","sharpeschoolhigh",-174.727613802005,-2.75835345315454,"temperate",56.435,-4.709
"4","MTD2041","Metazoa","Pogonomyrmex rugosus","Foraging Velocity","sharpeschoolhigh",-382.374038801058,0.873972511277531,"temperate",40.249,-111.676
"5","MTD2042","Metazoa","Tapinoma sessile","Foraging Velocity","sharpeschoolhigh",-305.062816038878,0.979389762943328,"sub-tropical",34.148,-118.145
"6","MTD2043","Metazoa","Linepithema humile","Foraging Velocity","sharpeschoolhigh",-212.477120542004,0.475172528587725,"sub-tropical",34.148,-118.145
"7","MTD2045","Metazoa","Messor pergandei","Foraging Velocity","sharpeschoolfull",-286.084661735877,0.30424668154792,NA,NA,NA
"8","MTD2049","Metazoa","Pogonomyrmex desertorum","Foraging Velocity","sharpeschoolhigh",-364.935252659221,0.419772587596901,"sub-tropical",31.835,-109.031
"9","MTD2050","Metazoa","Pogonomyrmex occidentalis","Foraging Velocity","sharpeschoolhigh",-83.1669414435109,0.244827766003402,"temperate",40.765,-111.827
"10","MTD2051","Metazoa","Ocymyrmex barbiger","Foraging Velocity","sharpeschoolhigh",-420.752320008393,0.963865662344202,"sub-tropical",-23.561,15.042
"11","MTD2052","Metazoa","Messor pergandei","Foraging Velocity","sharpeschoolhigh",-519.99069432753,0.0580236866276619,NA,NA,NA
"12","MTD2053","Metazoa","Acromyrmex versicolor","Foraging Velocity","sharpeschoolhigh",-362.527764447181,0.53590515204986,"sub-tropical",28.828,-111.936
"13","MTD2054","Metazoa","Atta colombica","Foraging Velocity","sharpeschoolhigh",-439.272928457762,0.767757978738851,"tropical",9.152,-79.846
"14","MTD2055","Metazoa","Messor pergandei","Foraging Velocity","sharpeschoolhigh",-189.930600353877,0.535199444384383,"sub-tropical",28.828,-111.936
"15","MTD2061","Metazoa","Linepithema humile","Foraging Velocity","sharpeschoolhigh",-1390.3409283133,-0.917774426513899,"sub-tropical",37.892,-121.201
"16","MTD2079","Metazoa","Acarus siro","Growth","sharpeschoolhigh",-288.712942503284,1.93871881588042,"temperate",50.087,14.421
"17","MTD2081","Metazoa","Aleuroglyphus ovatus","Growth","sharpeschoolhigh",-285.217144548862,1.74784028402028,"temperate",50.087,14.421
"18","MTD2083","Metazoa","Tyrophagus putrescentiae","Growth","sharpeschoolhigh",-266.847196718183,3.07231017869508,"temperate",50.087,14.421
"19","MTD2168","Plantae","Lemna minor","Growth","sharpeschoolfull",-333.890782042323,1.58393458273808,"temperate",52.94,-73.549
"20","MTD2169","Bacteria","Salmonella enterica","Growth","sharpeschoolhigh",-190.848143555359,-2.7470816307829,"temperate",40.376,-88.981
"21","MTD2170","Bacteria","Escherichia coli","Growth","sharpeschoolfull",-259.694719742066,0.52069053489414,"temperate",40.376,-88.981
"22","MTD2200","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-253.2075480163,-1.46832699480899,"temperate",47.121,-1.351
"23","MTD2201","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-287.780317391835,0.812877025589138,"temperate",46.52,1.377
"24","MTD2203","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-242.148737186658,0.909416016324358,"tropical",16.996,-62.068
"25","MTD2204","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-246.425560819119,0.831022186563137,"tropical",-14.264,-51.943
"26","MTD2205","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-294.709224538369,0.996370185908093,"temperate",40.714,-74.006
"27","MTD2207","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-292.728055823215,1.6931998426375,"temperate",48.553,1.199
"28","MTD2208","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-246.26012395041,-2.53533428931887,"tropical",3.557,-52.449
"29","MTD2209","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-249.344045317275,1.39067424620501,"tropical",3.557,-52.449
"30","MTD2210","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-248.219596896945,0.948886449642544,"tropical",3.557,-52.449
"31","MTD2212","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-242.60755137,0.805077004109884,"sub-tropical",30.065,31.25
"32","MTD2213","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-292.660494359867,0.893213879838883,"tropical",-18.767,46.869
"33","MTD2214","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-293.438620442865,0.756745798110571,"tropical",12.233,-1.56
"34","MTD2215","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-245.941714444233,0.800179410025061,"tropical",21.522,-77.781
"35","MTD2216","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-243.829225154246,0.784447632751781,"tropical",21.522,-77.781
"36","MTD2217","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-244.046305052091,1.85566012496219,"sub-tropical",26.821,30.802
"37","MTD2218","Fungi","Metarhizium anisopliae","Growth","sharpeschoolhigh",-247.205656076651,1.07197484049636,"tropical",-21.125,55.547
"38","MTD2221","Fungi","Metarhizium flavoviride","Growth","sharpeschoolhigh",-284.949423618803,1.07226001811167,"temperate",48.252,-3.93
"39","MTD2223","Fungi","Metarhizium flavoviride","Growth","sharpeschoolhigh",-241.559028492253,0.855530843175233,"sub-tropical",-25.274,133.775
"40","MTD2225","Fungi","Metarhizium flavoviride","Growth","sharpeschoolhigh",-296.558399004359,0.514262301168175,"tropical",8.559,0.835
"41","MTD2226","Fungi","Metarhizium flavoviride","Growth","sharpeschoolhigh",-246.79249863886,0.819269068399323,"tropical",17.608,8.082
"42","MTD2228","Fungi","Metarhizium flavoviride","Growth","sharpeschoolhigh",-245.230715379282,0.695465219203006,"tropical",-6.369,34.889
"43","MTD2229","Fungi","Metarhizium flavoviride","Growth","sharpeschoollow",-307.1227270767,-6.27487597879034,"tropical",15.454,18.732
"44","MTD2233","Fungi","Metarhizium flavoviride","Growth","sharpeschoolhigh",-248.90643162297,0.929227123933704,"tropical",-0.228,15.828
"45","MTD2234","Fungi","Metarhizium flavoviride","Growth","sharpeschoolhigh",-301.10550734819,0.968463979592657,"tropical",-18.767,46.869
"46","MTD2236","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-254.09771500037,0.759971534161233,"sub-tropical",31.971,-99.91
"47","MTD2237","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-246.37464214477,1.02056222071532,"sub-tropical",31.971,-99.91
"48","MTD2238","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-245.300491965078,0.859170183486502,"sub-tropical",36.778,-119.418
"49","MTD2239","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-249.322127875034,0.688250053359271,"sub-tropical",36.778,-119.418
"50","MTD224","Metazoa","Stethorus punctum","Consumption","sharpeschoolhigh",-162.262946814217,0.727737952210887,"sub-tropical",39.93,-77.248
"51","MTD2241","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-248.291674738051,0.761293618308874,"tropical",21.522,-77.781
"52","MTD2243","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-266.712048945268,0.766312401857622,"temperate",43.493,-1.276
"53","MTD225","Metazoa","Stethorus punctum","Consumption","sharpeschoolhigh",-156.141373585322,0.668208613701043,"sub-tropical",39.93,-77.248
"54","MTD2252","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-249.553292363677,0.506694804912308,"tropical",13.06,80.25
"55","MTD2253","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-249.208188960511,-3.75368512949009,"tropical",13.06,80.25
"56","MTD2254","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-248.246473902377,0.803647625144636,"tropical",13.06,80.25
"57","MTD2255","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-249.419050710048,0.925699432494339,"tropical",13.06,80.25
"58","MTD2256","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-252.347020104211,-2.0265226105419,"tropical",13.06,80.25
"59","MTD2257","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-248.062531892402,-1.66843024881135,"tropical",13.06,80.25
"60","MTD2258","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-257.731446237407,1.20249187097366,"tropical",13.06,80.25
"61","MTD2259","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-246.4918922178,0.568268170160759,"tropical",13.06,80.25
"62","MTD226","Metazoa","Stethorus punctum","Consumption","sharpeschoolhigh",-153.941608088206,-1.3682089856944,"sub-tropical",39.93,-77.248
"63","MTD2260","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-255.063437910599,0.618080775757453,"sub-tropical",27.703,85.318
"64","MTD2262","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-289.684364777482,0.755370647574387,"sub-tropical",27.703,85.318
"65","MTD2263","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-302.737365602442,0.757128936497374,"sub-tropical",27.703,85.318
"66","MTD2264","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-243.711670446332,0.747713372774437,"sub-tropical",27.703,85.318
"67","MTD2265","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-251.243190586611,0.730216577490279,"sub-tropical",30.19,71.458
"68","MTD2266","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-250.217815279276,0.762518616852477,"sub-tropical",30.19,71.458
"69","MTD2267","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-248.530397941882,0.710080585019611,"sub-tropical",30.19,71.458
"70","MTD2268","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-244.732730702507,0.591243436543496,"sub-tropical",30.19,71.458
"71","MTD2269","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-243.531457519319,0.674665413282694,"sub-tropical",30.19,71.458
"72","MTD227","Metazoa","Stethorus punctum","Consumption","sharpeschoolhigh",-148.237624302799,0.544762095585389,"sub-tropical",39.93,-77.248
"73","MTD2270","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-257.100077696694,0.698492369345006,"sub-tropical",30.19,71.458
"74","MTD2271","Fungi","Paecilomyces fumosoroseus","Growth","sharpeschoolhigh",-249.268704405035,0.754278420342478,"sub-tropical",30.19,71.458
"75","MTD2272","Fungi","Beauveria bassiana","Growth","sharpeschoolhigh",-258.079190097165,-5.19070077121122,"temperate",44.601,6.323
"76","MTD2273","Fungi","Beauveria bassiana","Growth","sharpeschoolhigh",-307.477844031537,0.788106333750542,"temperate",48.85,2.637
"77","MTD2274","Fungi","Beauveria bassiana","Growth","sharpeschoolhigh",-308.295424710763,1.07653231875914,"tropical",4.571,-74.297
"78","MTD2275","Fungi","Beauveria bassiana","Growth","sharpeschoolhigh",-307.481935323063,0.773862552056996,"temperate",47.134,6.022
